,Title,Links,Description,Present Prices,Old Price,From
2370,"Asus M515UA | 2021 Model | 15.6” FHD Laptop Silver ( Ryzen 5 5500U, 4GB, 512GB SSD, ATI, W10, HS )",https://computermania.com.bd/product/asus-m515ua-price-in-bd/,," 163,000"," 176,900",ComputerMania-
2371,"Asus Notebook M515UA | 2021 Model | 15.6″FHD Slate Grey ( Ryzen 5-5500U, 8GB, 8GBSSD, AMD, W10 )",https://computermania.com.bd/product/asus-notebook-amd-5th-gen/,," 163,000"," 176,900",ComputerMania-
2372,"Asus Notebook M515UA | 2021 Model | 15.6″FHD Transparent Silver ( Ryzen 5-5500U, 8GB, 8GBSSD, AMD, W10)",https://computermania.com.bd/product/asus-notebook-m515ua/,," 163,000"," 176,900",ComputerMania-
2373,"Asus Pro P1440FA | 2021 Model | 14″ Laptop Star Grey ( I5-10210U, 8GB, 256GB SSD, Intel, W10P )",https://computermania.com.bd/product/asus-pro-p1440fa-price-in-bd/,," 163,000"," 176,900",ComputerMania-
2374,"Asus ROG Flow X13 GV301QC | 2021 Model | 13.4” WQUXGA 60Hz Display Touch Laptop ( Ryzen™ 9 5980HS, 16GB, 1TB SSD, RTX™ 3050 4GB, W10 )",https://computermania.com.bd/product/rog-flow-x13-price-in-bangladesh/,," 163,000"," 176,900",ComputerMania-
2375,"Asus ROG Flow X13 GV301QH | 2021 Model | 13.4” FHD Touch Gaming Laptop ( Ryzen 9 5900HS, 16GB, 1TB SSD, GTX1650 4GB, W10 )",https://computermania.com.bd/product/asus-rog-flow-x13-price-in-bd/,," 159,900"," 170,000",ComputerMania-
2376,"Asus ROG Flow X13 GV301QH | 2021 Model | 13.4” FHD Touch Gaming Laptop ( Ryzen 9 5900HS, 16GB, 512GB SSD, GTX1650 4GB, W10 )",https://computermania.com.bd/product/asus-rog-flow-x13-price/,," 153,900"," 165,900",ComputerMania-
2377,"Asus ROG Flow X13 GV301QH | 2021 Model | 13.4” WUXGA Touch Gaming Laptop ( Ryzen 7 5800HS, 16GB, 512GB SSD, GTX1650 4GB, W10 )",https://computermania.com.bd/product/rog-flow-x13-price-in-bd/,," 145,900"," 160,000",ComputerMania-
2378,"Asus ROG Flow X13 GV301QH | 2021 Model | 13.4” FHD Gaming Laptop ( Ryzen 9 5980HS, 32GB, 1TB SSD, GTX1650 4GB + RTX3080, W10, HS )",https://computermania.com.bd/product/asus-rog-flow-x13/,," 298,900"," 320,800",ComputerMania-
2379,"Asus ROG Flow Z13 GZ301ZA | 2022 Model | 13.4” WUXGA Touch Gaming Laptop ( i5-12500H , 16GB, 512GB SSD, Intel, W11 )",https://computermania.com.bd/product/rog-flow-z13-price-in-bd/,," 298,900"," 320,800",ComputerMania-
2380,"Asus ROG Flow Z13 GZ301ZE | 2022 Model | 13.4” WQUXGA Touch Gaming Laptop (i9-12900H , 16GB, 1TB SSD, RTX™ 3050Ti 4GB, W11 )",https://computermania.com.bd/product/asus-rog-flow-z13-price-in-bangladesh/,," 298,900"," 320,800",ComputerMania-
2381,"Asus ROG Strix G15 Advantage Edition G513QY | 2021 Model | 15.6” WQHD 165Hz Gaming Laptop ( Ryzen 9 5900HX, 8GB, 1TB SSD, RX 6800M, W10 )",https://computermania.com.bd/product/rog-strix-g15-advantage-edition-price-in-bd/,," 255,000"," 275,900",ComputerMania-
2382,"Asus ROG Strix G15 Advantage Edition | 2021 Model | 15.6” FHD 300Hz Display Gaming Laptop ( R9-5900HX, 16GB, 512GB SSD, RX 6800M, W10 )",https://computermania.com.bd/product/rog-strix-g15-advantage-edition-price/,," 255,000"," 275,900",ComputerMania-
